gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Client Assistance Specialist,2015-06-15,2015,50785.5
F,HHS,Department of Health and Human Services,Health Care and Group Residential Services,Fulltime-Regular,Program Manager II,1977-10-11,1977,104717.28
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Planning Specialist III,2013-04-08,2013,87236.83
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Assistant Chief,1984-05-07,1984,149529.08
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Program Specialist I,2013-08-26,2013,49618.43
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,2011-05-22,2011,57265.0
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,2013-01-14,2013,55328.0
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Office Services Coordinator,2014-09-08,2014,43850.22
F,POL,Department of Police,HQ Office of the Chief,Fulltime-Regular,Master Police Officer,2007-07-16,2007,73958.0
M,HHS,Department of Health and Human Services,Adult Drug Court,Fulltime-Regular,Manager III,2004-02-23,2004,135392.0
F,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2013-02-11,2013,49104.52
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,2008-03-17,2008,70884.0
F,DLC,Department of Liquor Control,Cabin John,Fulltime-Regular,Liquor Store Assistant Manager,2004-09-07,2004,57307.14
M,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer III (Corporal),2002-02-19,2002,67922.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2012-12-03,2012,18416.48
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2014-02-24,2014,48572.17
F,DPS,Department of Permitting Services,Customer Service & Outreach,Fulltime-Regular,Permit Technician III,1988-03-07,1988,72534.66
M,DLC,Department of Liquor Control,King Farm,Fulltime-Regular,Liquor Store Assistant Manager,2008-06-08,2008,48260.26
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2004-10-04,2004,34743.89
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2008-07-14,2008,68054.0
M,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,2012-12-17,2012,51355.08
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2008-08-11,2008,43525.72
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,1990-08-27,1990,76015.03
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2013-08-12,2013,58455.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2005-08-08,2005,41954.12
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Motor Pool Attendant,2002-06-09,2002,43433.04
F,DLC,Department of Liquor Control,Cabin John,Parttime-Regular,Liquor Store Clerk I,2012-11-09,2012,29779.06
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008-03-17,2008,46626.87
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000-07-23,2000,62835.65
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2014-10-20,2014,39351.09
F,HRC,Office of Human Rights,Compliance,Fulltime-Regular,Manager III,2009-12-21,2009,106461.04
M,FRS,Fire and Rescue Services,Station 5,Fulltime-Regular,Fire/Rescue Captain,1989-08-14,1989,117174.02
F,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,2007-06-11,2007,36992.05
F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager II,1990-05-21,1990,115189.01
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2016-03-07,2016,44300.0
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Program Specialist II,1991-02-19,1991,87523.22
M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,2008-03-02,2008,46626.87
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Master Firefighter/Rescuer,1999-11-29,1999,88859.0
F,DGS,Department of General Services,Office of the Director,Fulltime-Regular,Senior Executive Administrative Aide,2006-08-21,2006,73801.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012-03-26,2012,43525.12
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2015-11-30,2015,42662.89
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000-03-19,2000,62836.91
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,2000-08-20,2000,53050.89
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2012-06-07,2012,35552.43
M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer III,1988-11-28,1988,86537.84
M,SHF,Sheriff's Office,Attachments,Fulltime-Regular,Deputy Sheriff III,1994-06-13,1994,87967.15
M,REC,Department of Recreation,Olney Indoor Pool,Fulltime-Regular,Recreation Specialist,2005-12-12,2005,59120.89
F,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Manager III,2016-05-02,2016,104733.06
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,2006-03-27,2006,80895.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Executive Administrative Aide,2004-04-05,2004,54698.82
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,2005-07-25,2005,64433.29
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,1994-01-31,1994,69222.18
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1989-10-16,1989,96763.35
F,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,1998-08-17,1998,98060.0
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Fire/Rescue Captain,1986-03-14,1986,121167.06
M,DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Equipment Services Coordinator,2005-05-31,2005,97912.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014-06-02,2014,49831.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2012-09-24,2012,58720.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2003-03-17,2003,73801.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003-05-12,2003,56688.39
M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,2016-08-08,2016,110000.0
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,2010-06-01,2010,57265.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2003-06-30,2003,72185.0
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2002-02-19,2002,79138.34
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2014-03-10,2014,52947.0
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,2014-07-14,2014,51069.59
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2013-03-12,2013,38085.01
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2001-01-22,2001,77328.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2007-11-26,2007,45048.5
M,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Transit Marketing Specialist,2007-06-25,2007,78855.57
F,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,1999-11-08,1999,85405.0
M,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Information Technology Specialist I,1990-07-02,1990,83497.98
F,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",Fulltime-Regular,Assistant County Attorney III,2000-10-08,2000,140794.0
F,HHS,Department of Health and Human Services,Head Start/Pre-K (Health),Fulltime-Regular,Community Health Nurse II,1988-11-21,1988,100849.36
F,FIN,Department of Finance,Insurance,Fulltime-Regular,Manager III,1989-10-10,1989,120600.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2004-01-05,2004,55122.12
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1999-04-12,1999,89620.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2001-11-04,2001,58657.24
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Operations Supervisor,1978-10-02,1978,78889.86
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006-12-04,2006,48260.15
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,1996-02-05,1996,92663.69
F,LIB,Department of Public Libraries,Potomac Library,Parttime-Regular,Librarian I,1993-08-08,1993,43761.61
M,DOT,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,2013-09-23,2013,48503.21
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013-07-01,2013,43525.72
M,DLC,Department of Liquor Control,White Oak,Parttime-Regular,Liquor Store Clerk I,2005-12-12,2005,33017.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012-07-17,2012,45048.5
M,DLC,Department of Liquor Control,Fallsgrove,Fulltime-Regular,Liquor Store Clerk II,2012-06-03,2012,39561.58
F,DLC,Department of Liquor Control,Customer Service,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,2006-12-26,2006,53493.02
M,HHS,Department of Health and Human Services,Facilities and Logistical Services,Fulltime-Regular,Office Clerk,2000-07-17,2000,40919.0
M,DPS,Department of Permitting Services,Land Development Sediment Stormwater Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1988-01-19,1988,110886.71
M,FRS,Fire and Rescue Services,Station 7,Fulltime-Regular,Firefighter/Rescuer III,2006-03-27,2006,70052.0
F,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Police Officer III,2003-02-03,2003,80829.0
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1993-04-18,1993,92756.7
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2005-05-16,2005,70396.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2001-10-22,2001,52953.44
M,DLC,Department of Liquor Control,Cloverly,Parttime-Regular,Liquor Store Clerk I,2011-01-04,2011,29779.07
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,1989-07-17,1989,87523.22
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2014-08-11,2014,52563.37
M,DOT,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Manager III,2012-02-27,2012,110213.2
F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker III,1994-03-07,1994,100849.36
F,COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,Fulltime-Regular,Social Worker III,2016-07-25,2016,73000.0
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,2006-08-07,2006,95236.02
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2008-06-23,2008,60775.0
F,DTS,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Office Services Coordinator,1988-09-19,1988,69222.18
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,2009-01-05,2009,68423.48
F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Client Assistance Specialist,2006-05-30,2006,73888.38
M,DLC,Department of Liquor Control,Clarksburg Village,Fulltime-Regular,Liquor Store Clerk II,2008-05-25,2008,42378.72
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2004-10-04,2004,55370.43
F,LIB,Department of Public Libraries,Potomac Library,Fulltime-Regular,Librarian II,1993-05-16,1993,90510.64
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Fire/Rescue Lieutenant,2006-03-27,2006,87354.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,1985-09-23,1985,69222.18
M,FRS,Fire and Rescue Services,Station 26,Fulltime-Regular,Firefighter/Rescuer III,2008-03-17,2008,70884.0
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,2008-03-17,2008,89952.8
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,2006-10-09,2006,76716.0
M,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Assistant Supervisor,2007-09-05,2007,50785.5
F,CUS,Community Use of Public Facilities,Silver Spring Civic Building,Fulltime-Regular,Administrative Specialist II,2013-09-23,2013,66477.89
F,DOT,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,2016-09-19,2016,54000.0
M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Lieutenant,2000-02-14,2000,99792.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2013-09-23,2013,56733.0
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,2005-05-16,2005,118400.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008-03-02,2008,46626.87
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014-02-10,2014,54814.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,1998-08-30,1998,70422.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2012-07-16,2012,60501.0
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Accountant/Auditor III,2000-10-02,2000,85218.86
M,PRO,Office of Procurement,"Living Wage, Prevailing Wage and Equal Benefits",Fulltime-Regular,Program Manager II,2004-12-27,2004,102664.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000-10-01,2000,60711.33
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Fire/Rescue Captain,1998-08-17,1998,110229.0
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Manager,1996-08-05,1996,102664.0
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008-03-02,2008,60601.73
F,CCL,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,2007-01-21,2007,143590.61
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2014-12-15,2014,42053.42
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,2007-09-04,2007,70884.0
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Fire/Rescue Lieutenant,2004-12-13,2004,95559.0
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,2016-05-16,2016,52260.0
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,1995-02-13,1995,85828.93
M,FRS,Fire and Rescue Services,Fire Chief's Executive Office,Fulltime-Regular,Program Manager II,1989-11-28,1989,102664.0
F,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Associate,2011-11-27,2011,47940.15
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,1988-08-18,1988,87523.22
M,DLC,Department of Liquor Control,Hampden Lane,Fulltime-Regular,Liquor Store Manager,2002-02-24,2002,74448.93
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,1989-11-06,1989,75277.02
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,2004-07-19,2004,74424.0
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2004-01-26,2004,73801.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2000-07-10,2000,73801.0
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Master Firefighter/Rescuer,2004-06-07,2004,80145.0
M,POL,Department of Police,PSB 5th District Station,Fulltime-Regular,Police Captain,1989-08-07,1989,155693.29
M,COR,Correction and Rehabilitation,DS MCCF Custody and Security,Fulltime-Regular,Manager III,1984-10-21,1984,135392.0
M,DTS,Department of Technology Services,COO Office - Project Mangement Office,Fulltime-Regular,Manager III,2003-05-19,2003,135063.16
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,2007-03-19,2007,69472.11
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Fire/Rescue Lieutenant,2002-09-03,2002,98523.0
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,2013-05-20,2013,54797.79
F,REC,Department of Recreation,Special Events,Fulltime-Regular,Recreation Specialist,1984-12-31,1984,83198.5
M,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,2001-09-05,2001,90558.17
F,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,2004-11-15,2004,47344.63
F,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Master Police Officer,1994-01-18,1994,97392.47
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,2014-03-24,2014,52944.77
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015-11-03,2015,34350.14
F,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Refuse Disposal Cashier,2016-08-08,2016,46000.0
F,POL,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,1998-08-31,1998,89620.0
F,HHS,Department of Health and Human Services,Community Support Network for People with Disabilities,Fulltime-Regular,Program Manager I,2003-06-16,2003,93396.0
M,DPS,Department of Permitting Services,Team 5 Green Building,Fulltime-Regular,Senior Permitting Services Specialist,1969-03-03,1969,110886.71
F,COR,Correction and Rehabilitation,DS Inmate Records,Fulltime-Regular,Correctional Records Technician,1999-09-07,1999,66266.06
M,DTS,Department of Technology Services,ESOD Data Center Operations,Fulltime-Regular,Senior Information Technology Specialist,1996-10-28,1996,118400.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2014-09-08,2014,53722.42
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2000-02-14,2000,77328.0
M,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Captain,2000-09-11,2000,118930.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2004-10-04,2004,43422.51
F,DLC,Department of Liquor Control,Cloverly,Parttime-Regular,Liquor Store Clerk I,2014-12-01,2014,29779.09
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013-01-28,2013,58455.0
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Manager III,1998-02-02,1998,105585.3
M,LIB,Department of Public Libraries,Twinbrook Library,Parttime-Regular,Library Assistant I,1998-01-12,1998,27571.09
M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,2013-08-12,2013,69429.0
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Survey Crew Leader,2006-05-15,2006,77343.0
M,FRS,Fire and Rescue Services,Fire and Rescue Occupational Medical Services,Fulltime-Regular,Fire/Rescue Captain,1990-08-27,1990,122788.02
M,DOT,Department of Transportation,Transit COS Passenger Facilities,Fulltime-Regular,Work Force Leader II,2001-12-31,2001,73628.44
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Manager II,1992-08-10,1992,156525.0
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1999-03-29,1999,89620.0
M,FRS,Fire and Rescue Services,Rescue 2,Fulltime-Regular,Firefighter/Rescuer III,2008-09-02,2008,70884.0
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker III,2004-05-17,2004,96370.05
M,POL,Department of Police,FSB Traffic Division School Safety Section,Fulltime-Regular,Master Police Officer,1985-02-25,1985,97392.47
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2004-07-12,2004,66985.25
F,LIB,Department of Public Libraries,Marilyn J Praisner Library,Fulltime-Regular,Library Assistant II,1978-09-05,1978,69222.18
M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer III,2006-03-27,2006,72167.0
M,DLC,Department of Liquor Control,Leisure World,Parttime-Regular,Liquor Store Clerk I,2015-04-06,2015,28772.07
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2001-07-22,2001,60711.33
F,CEX,Offices of the County Executive,County Executive's Office,Fulltime-Regular,Administrative Specialist II,2005-11-14,2005,78059.57
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,1999-07-18,1999,46626.87
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,2005-01-24,2005,76744.8
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2008-10-13,2008,56460.17
F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014-02-24,2014,56478.0
M,HCA,Department of Housing and Community Affairs,Finance and Administration Division,Fulltime-Regular,Manager II,2006-08-21,2006,132160.95
M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Program Manager II,2006-05-30,2006,102664.0
M,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Retirement Analyst,2000-05-30,2000,118422.7
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2001-06-24,2001,52097.35
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2010-11-08,2010,75737.1
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,1990-02-12,1990,100849.36
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2013-07-29,2013,52693.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2007-07-16,2007,70435.0
M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,2016-09-19,2016,40000.0
F,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Program Manager II,2014-01-13,2014,88136.06
M,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist II,2002-07-15,2002,67095.6
M,DHS,Office of Emergency Management and Homeland Security,Director's Office,Fulltime-Regular,Manager III,2010-09-13,2010,107028.37
F,HHS,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Program Manager I,2007-07-23,2007,83150.93
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Community Health Nurse II,1978-01-03,1978,100849.36
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,2008-01-07,2008,96486.29
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016-07-11,2016,50211.0
F,HHS,Department of Health and Human Services,African American Health Program,Fulltime-Regular,Program Manager I,1976-07-19,1976,96197.88
M,OMB,Office of Management and Budget,Special Projects,Fulltime-Regular,Senior Management and Budget Specialist,2002-10-07,2002,112899.0
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Medical Doctor IV - Psychiatrist,1995-07-16,1995,208997.66
M,FRS,Fire and Rescue Services,Fire Chief,Fulltime-Regular,"Fire Chief, Fire/Rescue Service",1990-08-27,1990,206000.0
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,2010-11-22,2010,144551.85
M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Program Manager II,2016-08-08,2016,90000.0
F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Public Safety Telephone Reporting Aide I,1999-07-19,1999,67206.0
M,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,1999-05-03,1999,54675.7
M,POL,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,2016-10-31,2016,16049.0
M,POL,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Officer III,1999-09-27,1999,89620.0
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2014-12-15,2014,42053.42
M,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,2008-06-09,2008,62517.38
F,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Senior Management and Budget Specialist,2005-05-02,2005,112899.0
F,BOE,Board of Elections,Absentee Voting,Fulltime-Regular,Office Services Coordinator,2000-03-01,2000,55956.05
F,BOE,Board of Elections,Absentee Voting,Fulltime-Regular,Office Services Coordinator,1999-08-30,1999,56588.09
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2016-03-08,2016,73176.1
F,CUS,Community Use of Public Facilities,Director,Fulltime-Regular,Manager I,1998-06-08,1998,175110.54
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2007-02-12,2007,48260.15
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Engineer III,1996-02-20,1996,105743.92
M,DLC,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,2016-03-07,2016,27799.2
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant,2013-12-30,2013,41781.91
