Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents,,,,,,,,,,,,,,
Mayne Pharma Inc,51862060602,Halobetasol Propionate 0.05% Foam - Hydroalcoholic,2019-01-14,1473.46,,1,,,,2018-10-25,15000000,,Total Halobetasol acquisition cost: $15million plus additional contingent earnout payments,"For additional information, please visit: https://www.maynepharma.com/media/2211/myx-announces-acquisition-of-fda-approved-halobetasol-foam.pdf *Please also be advised that the estimated number of patients is not currently reported as we do not have the full scope of this data yet",,,,,,,,,,,,,,,
Mayne Pharma Inc,51862060650,Halobetasol Propionate 0.05% Foam - Hydroalcoholic,2019-01-14,770.72,,1,,,,2018-10-25,15000000,,Total Halobetasol acquisition cost: $15million plus additional contingent earnout payments,"For additional information, please visit: https://www.maynepharma.com/media/2211/myx-announces-acquisition-of-fda-approved-halobetasol-foam.pdf *Please also be advised that the estimated number of patients is not currently reported as we do not have the full scope of this data yet",,,,,,,,,,,,,,,
Mayne Pharma Inc,51862063428,Fentanyl Buccal 100mcg Tabs 28,2019-06-19,1300.51,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,,,,,,,,,,,,,,,
Mayne Pharma Inc,51862063528,Fentanyl Buccal 200mcg Tabs 28,2019-06-19,1643.14,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,,,,,,,,,,,,,,,
Mayne Pharma Inc,51862063628,Fentanyl Buccal 400mcg Tabs 28,2019-06-19,2384.06,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,,,,,,,,,,,,,,,
Mayne Pharma Inc,51862063728,Fentanyl Buccal 600mcg Tabs 28,2019-06-19,3095.21,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,,,,,,,,,,,,,,,
Mayne Pharma Inc,51862063828,Fentanyl Buccal 800mcg Tabs 28,2019-06-19,3813.17,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,,,,,,,,,,,,,,,
"Daiichi Sankyo, Inc.",65597040601,Enhertu,2019-12-20,2295.97,,1,,1,1,,,,,Average patient will need 4 vials each 3 week cycle.  Estimated patient count forecasts are not made public.,,,,,,,,,,,,,,,
Novartis,78098615,"MAYZENTTM is available as 2 mg tablet (equivalent to 2.224mg siponimod fumaric acid): pale yellow, unscored, round biconvex film-coated tablet with beveled edges, debossed with Novartis symbol on one side and “T” on other side.",2019-03-27,7273.97,"Novartis considered many factors in determining the price of Mayzent. As the first oral drug to delay disability progression in RRMS, CIS, and active SPMS, Mayzent is poised to substantially reduce the burden of the condition on patients, caregivers, employers, insurers, the US healthcare system and society as a whole.  We are focused on access to Mayzent for this patient population.",,320000,,1,,,,,"Novartis used a priority review voucher. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
Novartis,78097950,"MAYZENTTM is available as 0.25 mg tablet (equivalent to 0.278mg siponimod fumaric acid): Pale red, unscored, round biconvex film-coated tablet with beveled edges, debossed with Novartis symbol on one side and “T” on other side.",2019-03-27,1697.26,"Novartis considered many factors in determining the price of Mayzent. As the first oral drug to delay disability progression in RRMS, CIS, and active SPMS, Mayzent is poised to substantially reduce the burden of the condition on patients, caregivers, employers, insurers, the US healthcare system and society as a whole.  We are focused on access to Mayzent for this patient population.",,320000,,1,,,,,"Novartis used a priority review voucher. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
Novartis,78070802,Piqray 300 mg /56 tablets (150mg tabs),2019-05-24,15500,"Novartis considered many factors in determining the price of Piqray.  We consider the value the medicine brings to the patient population, the healthcare system, and society. We also consider the research and development costs,  as well as ongoing costs for marketing, regulatory commitments, ongoing pharmacovigilance, and market conditions and dynamics. Piqray is the first and only treatment specifically for the approximately 40% of HR+/HER2- advanced breast cancer patients with a PIK3CA mutation, bringing a biomarker-driven therapy option to people with HR+/HER2- advanced breast cancer for the first time. Advanced breast cancer is incurable, and patients with all types need more treatment options. With this approval, physicians can now use an FDA-approved test to determine if their patients’ HR+/HER2- advanced breast cancer has a PIK3CA mutation and may benefit from Piqray combination therapy. We are focused on access to Piqray for this patient population.",,43000,,,,,,,"Novartis developed Piqray. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
Novartis,78071502,Piqray 250 mg / 56 tablets (28 of the 200 mg tabs & 28 of the 50 mg tabs),2019-05-24,15500,"Novartis considered many factors in determining the price of Piqray.  We consider the value the medicine brings to the patient population, the healthcare system, and society. We also consider the research and development costs,  as well as ongoing costs for marketing, regulatory commitments, ongoing pharmacovigilance, and market conditions and dynamics. Piqray is the first and only treatment specifically for the approximately 40% of HR+/HER2- advanced breast cancer patients with a PIK3CA mutation, bringing a biomarker-driven therapy option to people with HR+/HER2- advanced breast cancer for the first time. Advanced breast cancer is incurable, and patients with all types need more treatment options. With this approval, physicians can now use an FDA-approved test to determine if their patients’ HR+/HER2- advanced breast cancer has a PIK3CA mutation and may benefit from Piqray combination therapy. We are focused on access to Piqray for this patient population.",,43000,,,,,,,"Novartis developed Piqray. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
Novartis,78070184,Piqray 200 mg / 28 tablets (28 of the 200mg tabs),2019-05-24,15500,"Novartis considered many factors in determining the price of Piqray.  We consider the value the medicine brings to the patient population, the healthcare system, and society. We also consider the research and development costs,  as well as ongoing costs for marketing, regulatory commitments, ongoing pharmacovigilance, and market conditions and dynamics. Piqray is the first and only treatment specifically for the approximately 40% of HR+/HER2- advanced breast cancer patients with a PIK3CA mutation, bringing a biomarker-driven therapy option to people with HR+/HER2- advanced breast cancer for the first time. Advanced breast cancer is incurable, and patients with all types need more treatment options. With this approval, physicians can now use an FDA-approved test to determine if their patients’ HR+/HER2- advanced breast cancer has a PIK3CA mutation and may benefit from Piqray combination therapy. We are focused on access to Piqray for this patient population.",,43000,,,,,,,"Novartis developed Piqray. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
Novartis,78082761,BEOVU®  (brolucizumab-dbll),2019-10-08,1850,"Novartis considered many factors in determining the price of Beovu®.  We believe Beovu is poised to substantially reduce the burden of Neovascular (Wet) Age-Related Macular Degeneration (AMD) on patients, caregivers, insurers, the US healthcare system and society as a whole. With our pricing methodology, we are focused on access to BEOVU® for this patient population.",,700000,,1,,,,,"There are 700,000 patients with wAMD in the US for whom Beovu® may be prescribed; however, it is most likely only 53,000 US patients may potentially be prescribed Beovu®  in 2020.                                                 Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710102108,Albendazole 200mg Tablets,2019-01-18,366.28,,1,0,,,,0,,,This is an AB rated generic product that was developed by Zydus.,,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710117903,Ambrisentan 5mg Tablets,2019-04-15,2500,,1,0,,,,0,,,This is an AB rated generic product that was developed by Zydus.,,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710118003,Ambrisentan 10mg Tablets,2019-04-15,2500,,1,0,,,,0,,,This is an AB rated generic product that was developed by Zydus,,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710101401,Phytonadione 5mg Tablet,2019-03-01,5358.91,,1,0,,,,0,,,This is an AB rated generic product that was developed by Zydus,,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,68382044614,Bosentan 62.5mg Tablet,2019-06-03,10038.54,,1,0,,,,0,,,"This is an AB rated generic product that was developed by Zydus.  As Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level.",,,,,,,,,,,,,,,
Novartis,78088361,"ADAKVEO® (crizanlizumab-tmca)  injection is a sterile, clear to opalescent, colorless to slightly brownish-yellow solution for intravenous infusion supplied as:",2019-11-18,2357.14,"Novartis considered many factors in determining the price of Adakveo®  including the value the medicine brings to the patient population, the healthcare system, and society.   Adakveo® is the first targeted therapy to prevent the painful vaso-occlusive crises (VOCs) that patients with sickle cell disease endure. We believe Adakveo®  is posed to reduce the burden of VOCs on patients with sickle cell disease, caregivers, the US healthcare system and society as a whole.  We are focused on access to Adakveo® for this patient population. For marketing, we anticipate multi-channel advertising & promotion for Adakveo®.",,2048,1,1,2016-11-18,665000000,,"Reprixys Pharmaceuticals Corporation, formerly known as Selexys Pharmaceutical Corporation, was acquired by Novartis for $665M. This product was a part of the portfolio acquired by Novartis.","Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",,,,,,,,,,,,,,,
"Sigmapharm Laboratories, LLC",42794005108,Ambrisentan 5 mg tab 30ct,2019-04-29,5980,"Sigmapharm’s pricing and marketing plan for its products is not in the public domain or otherwise publicly available.  Therefore, Sigmapharm is limiting the information reported pursuant to § 96076(c).",,,,,,,,,"Field 7: Ambrisentan is an endothelin receptor antagonist indicated for the treatment of pulmonary arterial hypertension (PAH) (WHO Group 1): (i) To improve exercise ability and delay clinical worsening; and (ii) In combination with tadalafil to reduce the risks of disease progression and hospitalization for worsening PAH, and to improve exercise ability.  Sigmapharm Laboratories, LLC (Sigmapharm), lacks sufficient information to determine the total number of patients who may be prescribed its Ambrisentan Tablets products given, among other things, (i) the unknown size of the prospective patient population meeting the relevant criteria; and (ii) the current existence of 6 other approved AB-rated generics as well as the RLD.  Fields 10-13: Sigmapharm developed its Ambrisentan Tablets products in-house.  The fields are therefore inapplicable.",,,,,,,,,,,,,,,
"Sigmapharm Laboratories, LLC",42794005208,Ambrisentan 10 mg tab 30ct,2019-04-29,5980,"Sigmapharm’s pricing and marketing plan for its products is not in the public domain or otherwise publicly available.  Therefore, Sigmapharm is limiting the information reported pursuant to § 96076(c).",,,,,,,,,"Field 7: Ambrisentan is an endothelin receptor antagonist indicated for the treatment of pulmonary arterial hypertension (PAH) (WHO Group 1): (i) To improve exercise ability and delay clinical worsening; and (ii) In combination with tadalafil to reduce the risks of disease progression and hospitalization for worsening PAH, and to improve exercise ability.  Sigmapharm Laboratories, LLC (Sigmapharm), lacks sufficient information to determine the total number of patients who may be prescribed its Ambrisentan Tablets products given, among other things, (i) the unknown size of the prospective patient population meeting the relevant criteria; and (ii) the current existence of 6 other approved AB-rated generics as well as the RLD.  Fields 10-13: Sigmapharm developed its Ambrisentan Tablets products in-house.  The fields are therefore inapplicable.",,,,,,,,,,,,,,,
"Cameron Pharmaceuticals, LLC",42494042810,LORZONE (CHLORZOXAZONE 750 MG),2019-11-27,832.25,"Selling to wholesalers and retailers as a less expensive alternative to the brand, Lorzone.",,2000000,,,,,,,"Cameron co-developed this product. Novitium Pharma, LLC is the manufacturer and Cameron Pharmaceuticals, LLC is acting as the Distributor.",,,,,,,,,,,,,,,
AbbVie,74204202,"SKYRIZI (risankizuman-rzaa) 150mg (carton containing two 75mg/0.83mL single-dose, pre-filled syringes)",2019-04-29,14750,"SKYRIZI will be marketed to adult patients with moderate-to-severe psoriasis who are candidates for systemic therapy or phototherapy.     SKYRIZI is dosed four times per year.  The price of SKYRIZI is $14,750 per dose.  The maintenance price of SKYRIZI is lower than the most widely-prescribed biologic treatments for moderate to severe plaque psoriasis.  AbbVie recently received approval of SKYRIZI from:   --Japanese Ministry of Health, Labour and Welfare for the treatment of plaque psoriasis, generalized pustular psoriasis, erythrodermic psoriasis and psoriatic arthritis;   --Health Canada for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy; and   --The European Commission for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy.",,,,,,,,,"Response on estimated volume of patients who may be prescribed the drug (see Cal. Health & Saf. Code §  96076(b)(2):    SKYRIZI is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy.  Based upon an academic analysis of data from the CDC National Health and Nutrition Examination Survey, it is estimated that approximately 1 million adults in the United States have chronic plaque psoriasis that is deemed to be moderate or severe. See e.g., Helmick C., et al., Prevalence of Psoriasis Among Adults in the U.S., 2003-2006 and 2009-2010 National Health and Nutrition Examination Surveys, Am. J. of Prev. Med., 47(1):37–45 (2014).  SKYRIZI may be prescribed for that fraction of adults with moderate-to-severe psoriasis who are candidates for systemic therapy or phototherapy.  SKYRIZI was developed by AbbVie, with research and development costs funded in part by AbbVie.  On April 1, 2016, AbbVie acquired all rights to risankizumab, which was in Phase 3 development for psoriasis, from Boehringer Ingelheim pursuant to a global collaboration agreement. Since that date, all development costs have been funded by AbbVie, and AbbVie is responsible for all development going forward.  AbbVie is studying the potential of risankizumab in other chronic conditions, including Crohn’s disease, psoriatic arthritis, ulcerative colitis and atopic dermatitis.",,,,,,,,,,,,,,,
AbbVie,74230630,"RINVOQ (upadacitinib); 15mg extended-release tablets, 30 count bottle",2019-08-20,4916.67,"RINVOQ will be marketed to adult patients with moderately to severely active rheumatoid arthritis who have had an inadequate response or intolerance to methotrexate.     The recommended dose of RINVOQ is 15mg once daily. The WAC price of a thirty-tablet bottle of RINVOQ is $4,916.47.  The annual wholesale acquisition cost of RINVOQ is $59,000, which is lower than the current leading treatments for moderate to severe rheumatoid arthritis.  RINVOQ is under review by the European Medicines Agency, as well as regulatory authorities in Canada and Japan, for the treatment of adult patients with moderately to severely active rheumatoid arthritis.",,,,,,,,,"RINVOQ was developed by AbbVie.  Response on estimated volume of patients who may be prescribed the drug (see Cal. Health & Saf. Code §  96076(b)(2):    Based upon an observational, retrospective, cross-sectional study using data from the US administrative health insurance claims databases (Truven Health MarketScan and IMS PharMetrics Plus database), it is estimated that approximately 1.3 million adults in the United States have rheumatoid arthritis. See e.g., Hunter T., et al., Prevalence of rheumatoid arthritis in the United States adult population in healthcare claims databases, 2004–2014, Rheumatol. Int., 37(9): 1551-1557 (2017).   RINVOQ may be prescribed for that fraction of adults with moderately to severely active rheumatoid arthritis who have had inadequate response or intolerance to methotrexate.",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040004,Mavenclad (cladribine) 10 mg per tablet (4),2019-04-02,28428.56,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040005,Mavenclad (cladribine) 10 mg per tablet (5),2019-04-02,35535.7,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040006,Mavenclad (cladribine) 10 mg per tablet (6),2019-04-02,42642.84,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040007,Mavenclad (cladribine) 10 mg per tablet (7),2019-04-02,49749.98,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040008,Mavenclad (cladribine) 10 mg per tablet (8),2019-04-02,56857.12,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040009,Mavenclad (cladribine) 10 mg per tablet (9),2019-04-02,63964.26,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087040010,Mavenclad (cladribine) 10 mg per tablet (10),2019-04-02,71071.4,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",,,,,,,,,,,,,,,
"EMD Serono, Inc.",44087353501,Bavencio (avelumab) Injection,2019-05-14,1572.7,,1,,1,1,,,,,"The monthly estimated patient total is internal information that is aspirational, is not publicly available, and is subject to market adoption.  BAVENCIO was approved in combination with axitinib for the first-line treatment of patients with advanced renal cell carcinoma (RCC).  According to the American Cancer Society, about 73,820 new cases of kidney cancer will occur in the United States in 2019 (https://www.cancer.org/cancer/kidney-cancer/about/key-statistics.html, last visited June 12, 2019).  Approximately 90% of kidney cancers are renal cell carcinomas (https://www.cancer.org/cancer/kidney-cancer/about/what-is-kidney-cancer.html, last visited June 12, 2019). Approximately 30% of RCC patients are first diagnosed with RCC at the advanced stage (https://seer.cancer.gov/statfacts/html/kidrp.html, last visited June 12, 2019).",,,,,,,,,,,,,,,
"Daiichi Sankyo, Inc.",65597040228,Turalio,2019-08-06,19800,,1,,1,1,,,,,"WAC based on monthly price assuming 400mg daily.  As this is an oncology product, a ""course of treatment may vary."" The estimated patient population has not been made public.  Turalio was developed by Daiichi Sankyo, Inc.  There was no acquisition.",,,,,,,,,,,,,,,
"Daiichi Sankyo, Inc.",65597040220,Turalio,2019-08-06,19800,,1,,1,1,,,,,"WAC based on monthly price assuming 400mg daily.  As this is an oncology product, a ""course of treatment may vary."" The estimated patient population has not been made public.  Turalio was developed by Daiichi Sankyo, Inc.  There was no acquisition.",,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,68382044714,Bosentan 125mg Tablet,2019-06-03,10038.54,,1,0,,,,0,,,"This is an AB rated generic product that was developed by Zydus. As Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level.",,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710120301,Trientine HCl 250mg Capsules,2019-05-29,15618.34,,1,0,,,,0,,,"This is an AB rated generic product that was developed by Zydus. As Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level.",,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710161006,Arsenic Trioxide Inj 12mg/6ml (10x6ml),2019-09-16,7698.24,,1,0,,,,,,,"This is an AP rated injectable generic product that was developed by Zydus. Acquisition date and price are not applicable.  Additionally, as Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products neither by state or nationally. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level. If IQVIA has a data point that states an estimated number of patients, it is not data that Zydus subscribes to.  Zydus feels that by entering IQVIA TRx data into ""Estimated Number of Patients"" column, it would be a misrepresentation of IQVIA's data as TRx is defined as the counts of total (new plus refill) prescriptions dispensed by pharmacists and not as the estimated number of patients.",,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710127703,Deferasirox Tab 90mg 30 Count,2019-11-21,1093.3,,1,,,,,,,,"This is an AB rated generic product that was developed by Zydus. Acquisition date and price are not applicable. Additionally, as Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products neither by state or nationally. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level. If IQVIA has a data point that states an estimated number of patients, it is not data that Zydus subscribes to. Zydus feels that by entering IQVIA TRx data into ""Estimated Number of Patients"" column, it would be a misrepresentation of IQVIA's data as TRx is defined as the counts of total (new plus refill) prescriptions dispensed by pharmacists and not as the estimated number of patients.",,,,,,,,,,,,,,,
Zydus Pharmaceuticals (USA) Inc.,70710115201,Isosorbide Dinitrate Tab 40mg 100 Ct,2019-12-11,1335.37,,1,,,,,,,,"This is an AB rated generic product that was developed by Zydus. Acquisition date and price are not applicable. Additionally, as Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products neither by state or nationally. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level. If IQVIA has a data point that states an estimated number of patients, it is not data that Zydus subscribes to. Zydus feels that by entering IQVIA TRx data into ""Estimated Number of Patients"" column, it would be a misrepresentation of IQVIA's data as TRx is defined as the counts of total (new plus refill) prescriptions dispensed by pharmacists and not as the estimated number of patients.",,,,,,,,,,,,,,,
Akorn Inc,17478044708,"Aminocaproic Acid Oral Solution, USP",2019-11-04,2549.02,,1,1800,,,,,,,"Akorn indicated the 11/4/2019 date as the introduced to market date as that is when we first had product available to ship, the date we informed customers of the price and availability. This date was loaded into First Data Bank with WAC pricing.",,,,,,,,,,,,,,,
